Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),Thumbnail Color,Genre,Fandom 
"Golden Tail And Black Fur/Oneshot Solanego Percy Jackson Fanfiction|Shapeshifting, High Schoo AU",6-Feb-26,1631,1306,157.1296,10,8.295,27296,3.25,Yellow,Fluff,PJO
I'm Gay Panicking But It's Fine  ~ A Solangelo Percy Jackson OneShot Fanfiction,24-Apr-21,2085,574,89.241,5,3.952,10113,3.77,Blue,Pining,PJO
And Squeezing Tight As Possible/A Percabeth Percy Jackson OneShot Fanfiction|Modern AU,30-Jul-24,1349,570,41.0035,1,2.416,6660,5.65,Blue,Getting together,PJO
A Piece Of It All/A Percy Jackson Percabeth Hurt/Comfort OneShot Fanfiction,30-Dec-24,517,294,10.8311,1,1.065,3287,6.15,Brown,Angst,PJO
"On The Sunny Side Of The Beach/A Percabeth Oneshot Modern AU Fanfiction|Strangers To Lovers, Fluff",19-Jan-26,965,291,20.0589,1,1.374,2088,8.29,Green,Meet cute,PJO
She Wears the Crown of the School and Key of My Heart A Percabeth Percy Jackson Oneshot Fanfiction,22-Jun-20,1040,181,13.2372,0,1.099,2715,4.68,Blue,Fluff,PJO
At A Party Like This Part 1/4 - A Percabeth High School AU Percy Jackson Fanfiction Story,13-Jul-20,1128,178,13.3616,0,0.946,2239,5.63,Grey,Getting together,PJO
Books Don't Mix With Water Part 1 A Percabeth High School AU Percy Jackson Fanfiction,13-Sep-19,452,178,5.2048,0,0.61,960,6.56,Blue,Getting together,PJO
"Picture You In Polaroids Ch 1:5/Adrienette Miraculous Ladybug Fanfiction|Fluff, University AU",13-Feb-26,458,165,4.4779,0,0.318,6586,1.59,Pink,Fluff,Miraculous
I Ask For Your Hand In Marriage Chapter 1:15 A Percabeth Percy Jackson Royal AU Fanfiction,23-Feb-21,912,164,8.4272,0,0.619,1258,6.76,Blue,Getting together,PJO
You're A Mean One Ms Chase Part 1 of 5 A Percabeth Percy Jackson Christmas AU Fanfiction,1-Dec-20,795,115,7.5037,1,0.571,1433,5.65,Blue,Holiday,PJO
"Picture You In Polaroids Ch 2:5/Adrienette Miraculous Ladybug Fanfiction|Fluff, University AU",20-Feb-26,572,109,2.9301,0,0.192,4878,1.64,Pink,Fluff,PJO
You're A Mean One Ms Chase Part 5 of 5 Finale A Percabeth Percy Jackson Christmas AU Fanfiction,24-Dec-20,1024,102,9.6875,0,0.783,338,13.91,Blue,Holiday,PJO
Books Don't Mix With Water Part 19 Finale Percabeth Percy Jackson High School AU Fanfiction,19-Feb-21,790,95,9.4069,0,0.46,272,18.01,Blue,Getting together,PJO
Books Don't Mix With Water Part 11 A Percabeth High School AU Percy Jackson Fanfiction,11-Oct-20,1053,90,10.1577,0,0.432,590,8.81,Blue,Getting together,PJO
Family Time - A Oneshot Continuation of I Ask For Your Hand In Marriage Percabeth AU Fanfiction,18-May-21,670,83,4.6908,0,0.29,492,8.33,Blue,Fluff,PJO
I Ask For Your Hand In Marriage Chapter 15 Finale A Percabeth Royal AU Fanfiction,8-Apr-21,857,77,5.7561,0,0.233,341,8.21,Blue,Getting together,PJO
Books Don't Mix With Water Part 13 A Percabeth High School AU Percy Jackson Fanfiction,28-Oct-20,775,76,7.5853,0,0.314,530,7.92,Blue,Getting together,PJO
Books Don't Mix With Water Part 10 A Percabeth High School AU Percy Jackson Fanfiction,19-Sep-20,732,76,6.6812,0,0.308,507,7.89,Blue,Getting together,PJO
Books Don't Mix With Water Part 6 A Percabeth High School AU Percy Jackson Fanfiction,17-Apr-20,755,75,7.1507,0,0.401,535,7.66,Blue,Getting together,PJO
Books Don't Mix With Water Part 9 A Percabeth High School AU Percy Jackson Fanfiction,29-Jul-20,1054,74,9.2934,0,0.395,510,7.06,Blue,Getting together,PJO
Books Don't Mix With Water Part 18 Percabeth Percy Jackson High School AU Fanfiction,25-Jan-21,771,74,7.3442,0,0.294,390,9.49,Blue,Getting together,PJO
Oh For The Love Of Flowers Ch 1 of 5/A Percy Jackson Percabeth Fanfiction,2-Dec-24,785,73,4.9996,0,0.292,958,4.7,Orange,Fluff,PJO
Fly Back Breast Free Chapter 1:3 A Percabeth Percy Jackson AU Love Story Fanfiction,8-Jan-21,901,72,5.7538,0,0.416,772,5.05,Blue,Meet cute,PJO
Books Don't Mix With Water Part 5 A Percabeth High School AU Percy Jackson Fanfiction,13-Mar-20,545,72,5.4824,1,0.303,585,5.64,Blue,Getting together,PJO
Books Don't Mix with Water Part 8 A Percabeth AU Percy Jackson Fanfiction Story,26-Jun-20,578,72,5.7146,0,0.3,572,7.69,Blue,Getting together,PJO
Books Don't Mix With Water Part 15 A Percabeth High School AU Percy Jackson Fanfiction,23-Dec-20,676,70,6.5158,0,0.29,544,6.62,Blue,Getting together,PJO
Books Don't Mix With Water Part 7 A Percabeth High School AU Percy Jackson Fanfiction,8-May-20,791,70,7.4006,0,0.33,557,7.54,Blue,Getting together,PJO
Books Don't Mix With Water Part 2 A Percabeth High School AU Percy Jackson Fanfiction,12-Sep-19,277,70,2.5278,0,0.238,741,4.99,Blue,Getting together,PJO
At A Party Like This Part 3/4 - A Percabeth  High School AU Percy Jackson Fanfiction Story,9-Sep-20,993,70,9.458,0,0.43,358,14.8,Grey,Meet cute,PJO
You're A Mean One Ms Chase Part 3 of 5 A Percabeth Percy Jackson Christmas AU Fanfiction,13-Dec-20,908,68,6.136,0,0.465,738,5.15,Blue,Holiday,PJO
Books Don't Mix With Water Part 3 A Percabeth High School AU Percy Jackson Fanfiction,26-Sep-19,403,66,3.527,0,0.179,656,5.64,Blue,Getting together,PJO
Books Don't Mix With Water Part 14 A Percabeth High School AU Percy Jackson Fanfiction,22-Nov-20,656,66,5.9729,0,0.297,552,7.25,Blue,,PJO
Books Don't Mix With Water Part 12 A Percabeth High School AU Percy Jackson Fanfiction,21-Oct-20,747,65,6.8576,0,0.291,499,7.82,Blue,Genre,PJO
At A Party Like This Part 2 /4  - A Percabeth High School AU Percy Jackson Fanfiction Story,26-Aug-20,750,65,6.1136,0,0.43,587,8.52,Grey,Meet cute,PJO
Books Don't Mix With Water Part 17 Percabeth Percy Jackson High School AU Fanfiction,13-Jan-21,551,64,4.9043,0,0.234,523,6.69,Blue,Getting together,PJO
Books Don't Mix With Water Part 4 A Percabeth High School AU Percy Jackson Fanfiction,20-Dec-19,358,64,3.1829,0,0.275,563,6.04,Blue,Getting together,PJO
